width,height,algo,mode,seed,braid,reached,steps,cost,replans,nodes,runtime_sec
51,51,bfs,fog,0,0.1,True,846,846,778,317669,1.1751205921173096
51,51,dfs,fog,0,0.1,True,846,846,778,477966,1.7780282497406006
51,51,ucs,fog,0,0.1,True,846,846,778,317744,1.2032113075256348
51,51,astar,fog,0,0.1,True,846,846,778,317257,1.2515511512756348
51,51,greedy,fog,0,0.1,True,846,846,778,317252,1.2460832595825195
