width,height,algo,mode,seed,braid,reached,steps,cost,replans,nodes,runtime_sec,map
11,11,bfs,fog,0,0.3,True,46,46,35,776,0.0035536000068532303,maze_11x11_b30_s0.csv
11,11,ucs,fog,0,0.3,True,46,46,35,782,0.00371879999875091,maze_11x11_b30_s0.csv
11,11,dfs,fog,0,0.3,True,46,46,35,1008,0.004639200007659383,maze_11x11_b30_s0.csv
11,11,astar,fog,0,0.3,True,46,46,35,752,0.003865499995299615,maze_11x11_b30_s0.csv
11,11,greedy,fog,0,0.3,True,46,46,35,748,0.0037558000040007755,maze_11x11_b30_s0.csv
21,21,bfs,fog,0,0.3,True,154,154,121,8185,0.038500099995872006,maze_21x21_b30_s0.csv
21,21,dfs,fog,0,0.3,True,184,184,121,12074,0.05935039999894798,maze_21x21_b30_s0.csv
21,21,ucs,fog,0,0.3,True,154,154,121,8197,0.036484600001131184,maze_21x21_b30_s0.csv
21,21,astar,fog,0,0.3,True,154,154,121,8090,0.04337660000601318,maze_21x21_b30_s0.csv
21,21,greedy,fog,0,0.3,True,154,154,121,8085,0.045549500006018206,maze_21x21_b30_s0.csv
161,161,bfs,fog,0,0.3,True,5684,5684,4276,9622628,39.76029259999632,maze_161x161_b30_s0.csv
161,161,greedy,fog,0,0.3,True,5704,5704,4276,9618775,41.56691680000222,maze_161x161_b30_s0.csv
161,161,ucs,fog,0,0.3,True,5684,5684,4276,9622936,41.65479410000262,maze_161x161_b30_s0.csv
161,161,astar,fog,0,0.3,True,5684,5684,4276,9619041,43.87316339999961,maze_161x161_b30_s0.csv
161,161,dfs,fog,0,0.3,True,11760,11760,4276,14492462,58.61949279998953,maze_161x161_b30_s0.csv
41,41,bfs,fog,0,0.3,True,360,360,289,44434,0.1880284000071697,maze_41x41_b30_s0.csv
41,41,dfs,fog,0,0.3,True,360,360,289,69648,0.2883743999991566,maze_41x41_b30_s0.csv
41,41,ucs,fog,0,0.3,True,360,360,289,44492,0.1826335000077961,maze_41x41_b30_s0.csv
41,41,astar,fog,0,0.3,True,360,360,289,44280,0.2192261000018334,maze_41x41_b30_s0.csv
41,41,greedy,fog,0,0.3,True,360,360,289,44270,0.19594150000193622,maze_41x41_b30_s0.csv
5,5,bfs,fog,0,0.3,True,4,4,3,15,0.00019129998690914363,maze_5x5_b30_s0.csv
5,5,dfs,fog,0,0.3,True,4,4,3,16,0.0001812999980757013,maze_5x5_b30_s0.csv
5,5,ucs,fog,0,0.3,True,4,4,3,16,0.00017299999308306724,maze_5x5_b30_s0.csv
5,5,astar,fog,0,0.3,True,4,4,3,13,0.00013929999840911478,maze_5x5_b30_s0.csv
5,5,greedy,fog,0,0.3,True,4,4,3,13,0.00013499999477062374,maze_5x5_b30_s0.csv
81,81,bfs,fog,0,0.3,True,3288,3288,2039,2198125,9.050070100012817,maze_81x81_b30_s0.csv
81,81,dfs,fog,0,0.3,True,5302,5302,2039,3259436,13.074548999997205,maze_81x81_b30_s0.csv
81,81,ucs,fog,0,0.3,True,3288,3288,2039,2198208,9.335837200007518,maze_81x81_b30_s0.csv
81,81,astar,fog,0,0.3,True,3288,3288,2039,2195624,9.870065999988583,maze_81x81_b30_s0.csv
81,81,greedy,fog,0,0.3,True,3358,3358,2039,2195287,9.460403299992322,maze_81x81_b30_s0.csv
321,321,bfs,fog,0,0.3,True,14782,14782,11645,71298904,303.12418790000083,maze_321x321_b30_s0.csv
321,321,ucs,fog,0,0.3,True,14782,14782,11645,71299539,311.7498922999948,maze_321x321_b30_s0.csv
321,321,greedy,fog,0,0.3,True,14876,14876,11645,71289871,321.9371539999993,maze_321x321_b30_s0.csv
321,321,astar,fog,0,0.3,True,14782,14782,11645,71290609,324.5455976000085,maze_321x321_b30_s0.csv
321,321,dfs,fog,0,0.3,True,23232,23232,11645,107104939,437.5259447999997,maze_321x321_b30_s0.csv
